date,product_id,category,region,price,quantity,discount,profit,month,day,weekend,stock_estimate,competitor_price
2014-12-26,FUR-CH-10004063,Furniture,Central,200.186,3,0.3,-8.5794,12,26,0,99,244.186
2014-09-20,FUR-TA-10004534,Furniture,Central,102.95,6,0.5,-407.682,9,20,1,47,146.95
2016-11-06,FUR-CH-10001146,Furniture,West,40.712,2,0.2,-9.1602,11,6,1,56,47.712
2016-11-06,FUR-FU-10003773,Furniture,West,79.52,3,0.0,26.2416,11,6,1,101,40.52
2016-10-13,FUR-FU-10001706,Furniture,West,3.08,14,0.0,20.6976,10,13,0,37,12.08
2016-09-05,FUR-FU-10004848,Furniture,East,41.4,2,0.2,10.35,9,5,0,86,64.4
2014-10-22,FUR-FU-10000521,Furniture,East,23.472,4,0.2,12.9096,10,22,0,69,-11.528
2016-12-05,FUR-CH-10000454,Furniture,Central,243.98,8,0.0,585.552,12,5,0,49,287.98
2014-03-01,FUR-CH-10004063,Furniture,West,228.784,2,0.2,51.4764,3,1,1,34,202.784
2014-09-08,FUR-CH-10004287,Furniture,Central,193.34,9,0.3,-24.858,9,8,0,63,147.34
2014-08-05,FUR-CH-10003817,Furniture,West,48.592,7,0.2,21.259,8,5,0,80,83.592
2015-11-21,FUR-CH-10004698,Furniture,East,56.686,7,0.3,-11.3372,11,21,1,85,43.686
2015-10-12,FUR-BO-10002613,Furniture,East,224.784,4,0.2,112.392,10,12,0,66,245.784
2015-10-12,FUR-BO-10002545,Furniture,East,208.784,3,0.2,46.9764,10,12,0,31,172.784
2014-08-03,FUR-TA-10004289,Furniture,West,109.375,2,0.5,-161.875,8,3,1,78,64.375
2017-06-03,FUR-FU-10002960,Furniture,South,5.024,7,0.2,9.6712,6,3,1,55,47.024
2015-01-02,FUR-BO-10004695,Furniture,East,90.49,5,0.5,-244.323,1,2,0,35,63.49
2015-12-24,FUR-FU-10000087,Furniture,East,18.176,4,0.2,19.0848,12,24,0,68,21.176
2015-08-09,FUR-TA-10003748,Furniture,Central,124.49,5,0.0,136.939,8,9,1,69,129.49
2015-02-28,FUR-CH-10004860,Furniture,South,80.784,2,0.2,-28.2744,2,28,1,54,119.784
2015-02-28,FUR-CH-10004477,Furniture,South,48.712,8,0.2,43.8408,2,28,1,101,66.712
2017-04-07,FUR-TA-10001705,Furniture,South,116.93,2,0.45,-102.048,4,7,0,82,132.93
2017-04-07,FUR-TA-10003473,Furniture,South,206.8715,3,0.45,-248.2458,4,7,0,26,238.8715
2017-04-07,FUR-FU-10004017,Furniture,South,86.024,3,0.2,0.0,4,7,0,75,110.024
2016-06-04,FUR-FU-10000576,Furniture,Central,83.936,5,0.6,-356.728,6,4,1,88,53.93600000000001
2016-06-04,FUR-FU-10004351,Furniture,Central,3.896,3,0.6,-4.6752,6,4,1,48,5.896000000000001
2016-06-04,FUR-TA-10002607,Furniture,Central,35.445,5,0.5,-120.513,6,4,1,70,22.445
2016-06-04,FUR-FU-10002505,Furniture,Central,1.348,3,0.6,-2.8308,6,4,1,93,46.348
2014-06-01,FUR-CH-10004063,Furniture,Central,285.98,7,0.0,580.5394,6,1,1,54,290.98
2016-12-10,FUR-CH-10002965,Furniture,West,160.784,2,0.2,28.1372,12,10,1,43,119.784
2015-11-28,FUR-FU-10002505,Furniture,Central,1.348,9,0.6,-8.4924,11,28,1,63,27.348
2015-07-30,FUR-FU-10003274,Furniture,West,1.76,3,0.0,2.3232,7,30,0,53,39.76
2015-11-02,FUR-TA-10002903,Furniture,West,207.768,5,0.2,51.942,11,2,0,81,160.76799999999997
2016-11-20,FUR-BO-10004709,Furniture,East,28.99,3,0.5,-48.7032,11,20,1,78,53.99
2014-12-26,FUR-FU-10004091,Furniture,West,37.552,8,0.2,78.8592,12,26,0,81,-5.448
2014-12-26,FUR-CH-10001891,Furniture,West,76.784,3,0.2,20.1558,12,26,0,32,91.784
2014-12-26,FUR-FU-10002918,Furniture,West,72.784,3,0.2,-24.5646,12,26,0,33,55.784000000000006
2016-10-28,FUR-FU-10001861,Furniture,East,19.4,4,0.0,38.024,10,28,0,51,-16.6
2017-11-19,FUR-TA-10002533,Furniture,Central,73.02499999999999,3,0.5,-131.445,11,19,1,61,67.02499999999999
2015-05-04,FUR-FU-10002671,Furniture,East,13.4,2,0.0,12.864,5,4,0,78,-34.6
2016-09-12,FUR-FU-10001918,Furniture,West,3.784,4,0.2,3.5948,9,12,0,51,31.784
2016-09-12,FUR-CH-10004086,Furniture,West,233.384,2,0.2,52.5114,9,12,0,52,210.384
2016-09-12,FUR-FU-10001756,Furniture,West,15.232,1,0.2,1.7136,9,12,0,87,-5.768000000000001
2014-09-27,FUR-FU-10001588,Furniture,East,29.180000000000003,3,0.0,37.6422,9,27,1,29,-1.8199999999999967
2014-11-04,FUR-CH-10002602,Furniture,East,135.882,1,0.1,24.1568,11,4,0,56,129.882
2017-11-03,FUR-FU-10001967,Furniture,South,15.992,1,0.2,0.9995,11,3,0,59,-20.008
2016-08-30,FUR-CH-10003312,Furniture,East,196.686,4,0.3,-258.5016,8,30,0,58,228.686
2014-07-12,FUR-TA-10004575,Furniture,West,232.784,3,0.2,-17.4588,7,12,1,60,211.784
2016-04-08,FUR-BO-10002268,Furniture,East,64.784,6,0.2,-4.8588,4,8,0,71,17.784000000000006
2017-09-25,FUR-CH-10000785,Furniture,East,162.882,3,0.1,86.8704,9,25,0,28,112.882
2017-09-25,FUR-FU-10000023,Furniture,East,5.89,8,0.0,20.7328,9,25,0,69,-8.11
2016-10-21,FUR-BO-10002545,Furniture,East,260.98,4,0.0,271.4192,10,21,0,73,282.98
2017-08-27,FUR-TA-10004915,Furniture,East,212.632,7,0.3,-297.6848,8,27,1,96,163.632
2015-11-27,FUR-TA-10000617,Furniture,South,125.1525,3,0.45,-157.0095,11,27,0,61,110.1525
2015-12-03,FUR-FU-10001935,Furniture,East,2.96,1,0.2,0.777,12,3,0,83,8.96
2016-09-08,FUR-BO-10004834,Furniture,Central,599.0664,4,0.32,-317.1528,9,8,0,53,614.0664
2017-12-08,FUR-TA-10002041,Furniture,West,143.432,7,0.2,-112.9527,12,8,0,85,107.432
2017-12-08,FUR-BO-10001972,Furniture,West,102.833,13,0.15,31.4548,12,8,0,101,104.833
2017-12-08,FUR-CH-10003956,Furniture,West,56.784,2,0.2,-18.4548,12,8,0,46,20.784
2017-11-03,FUR-CH-10001891,Furniture,West,76.784,4,0.2,26.8744,11,3,0,30,101.784
2016-04-14,FUR-CH-10004886,Furniture,West,76.76,5,0.2,38.38,4,14,0,26,39.760000000000005
2017-10-19,FUR-FU-10004712,Furniture,East,14.14,4,0.0,14.7056,10,19,0,38,-25.86
2017-08-21,FUR-CH-10000015,Furniture,South,216.6,4,0.0,225.264,8,21,0,83,251.6
2017-11-23,FUR-FU-10003347,Furniture,Central,14.2,2,0.0,11.076,11,23,0,41,17.2
2017-01-20,FUR-CH-10003396,Furniture,East,69.282,3,0.1,2.3094,1,20,0,74,45.282
2016-09-05,FUR-FU-10000246,Furniture,Central,12.22,1,0.0,3.666,9,5,0,77,36.22
2016-09-05,FUR-CH-10002372,Furniture,Central,80.98,3,0.0,29.1528,9,5,0,66,51.98
2017-03-20,FUR-FU-10000206,Furniture,Central,2.91,1,0.0,1.3677,3,20,0,52,-27.09
2017-10-20,FUR-TA-10001539,Furniture,East,142.182,2,0.4,-75.8304,10,20,0,42,158.182
2014-02-12,FUR-CH-10000225,Furniture,West,64.784,2,0.2,-24.294,2,12,0,49,38.784000000000006
2016-09-26,FUR-CH-10002331,Furniture,Central,249.186,3,0.3,-96.1146,9,26,0,76,234.186
2016-04-22,FUR-FU-10000023,Furniture,West,4.712,5,0.2,7.068,4,22,0,59,23.712
2016-04-22,FUR-TA-10001889,Furniture,West,212.105,6,0.5,-814.4832,4,22,0,56,258.105
2015-01-17,FUR-FU-10002918,Furniture,Central,36.392,7,0.6,-312.0614,1,17,1,41,0.392000000000003
2017-03-31,FUR-BO-10002824,Furniture,Central,102.6664,2,0.32,-36.2352,3,31,0,97,151.6664
2014-11-09,FUR-BO-10001601,Furniture,West,111.333,2,0.15,10.4784,11,9,1,85,73.333
2016-10-27,FUR-FU-10002671,Furniture,East,13.4,3,0.0,19.296,10,27,0,33,-16.6
2017-06-10,FUR-BO-10001337,Furniture,West,102.833,5,0.15,-30.245,6,10,1,61,52.833
2016-03-18,FUR-TA-10001857,Furniture,South,63.294,3,0.4,-94.941,3,18,0,88,92.294
2016-07-25,FUR-FU-10004864,Furniture,West,63.94,4,0.0,81.8432,7,25,0,42,39.94
2016-07-25,FUR-CH-10002602,Furniture,West,120.784,2,0.2,18.1176,7,25,0,49,139.784
2016-07-25,FUR-FU-10000073,Furniture,West,7.699999999999999,9,0.0,22.869,7,25,0,80,55.7
2016-05-30,FUR-CH-10001215,Furniture,West,400.784,2,0.2,50.098,5,30,0,73,415.784
2017-11-26,FUR-FU-10001290,Furniture,Central,42.1,3,0.0,40.416,11,26,1,28,30.1
2017-01-23,FUR-TA-10001857,Furniture,Central,105.49,2,0.0,21.098,1,23,0,93,87.49
2017-10-21,FUR-CH-10003379,Furniture,South,227.984,3,0.2,42.747,10,21,1,82,252.984
2017-10-21,FUR-FU-10001756,Furniture,South,15.232,3,0.2,5.1408,10,21,1,86,11.232
2015-11-07,FUR-CH-10000595,Furniture,West,190.72,1,0.2,11.92,11,7,1,40,192.72
2017-09-07,FUR-FU-10000448,Furniture,West,15.98,3,0.0,2.397,9,7,0,62,54.98
2015-12-07,FUR-CH-10002647,Furniture,South,70.98,4,0.0,70.98,12,7,0,54,44.98
2014-05-11,FUR-FU-10000723,Furniture,Central,16.528,4,0.6,-84.2928,5,11,1,47,-22.472
2016-04-15,FUR-CH-10002024,Furniture,West,560.784,2,0.2,0.0,4,15,0,87,526.784
2017-09-11,FUR-FU-10003039,Furniture,South,34.504,1,0.2,6.0382,9,11,0,97,82.50399999999999
2016-06-10,FUR-TA-10004256,Furniture,West,333.92,4,0.2,-217.048,6,10,0,67,314.92
2017-11-20,FUR-FU-10003347,Furniture,West,14.2,3,0.0,16.614,11,20,0,79,-25.8
2014-09-14,FUR-FU-10004020,Furniture,South,4.376,3,0.2,3.7743,9,14,1,99,42.376
2017-10-01,FUR-CH-10004997,Furniture,West,150.384,3,0.2,0.0,10,1,1,75,133.384
2017-07-20,FUR-FU-10001475,Furniture,Central,8.792,1,0.6,-5.7148,7,20,0,42,15.792
2015-07-03,FUR-CH-10003956,Furniture,South,70.98,1,0.0,4.9686,7,3,0,76,92.98
2014-08-08,FUR-FU-10001979,Furniture,West,40.97,8,0.0,91.7728,8,8,0,78,-5.030000000000001
2014-03-15,FUR-FU-10001756,Furniture,South,15.232,3,0.2,5.1408,3,15,1,99,56.232
2017-08-18,FUR-FU-10003849,Furniture,East,20.24,2,0.0,15.7872,8,18,0,84,30.24
2017-08-18,FUR-FU-10000010,Furniture,East,4.97,2,0.0,3.0814,8,18,0,100,22.97
2017-08-18,FUR-FU-10000521,Furniture,East,29.34,3,0.0,27.2862,8,18,0,85,-14.66
2015-11-29,FUR-CH-10004853,Furniture,Central,150.98,2,0.0,87.5684,11,29,1,36,122.98
2017-09-15,FUR-FU-10000221,Furniture,East,5.08,7,0.0,12.0904,9,15,0,90,26.08
2015-10-04,FUR-CH-10001482,Furniture,South,130.98,3,0.0,43.2234,10,4,1,23,163.98
2016-05-20,FUR-FU-10000576,Furniture,West,209.84,5,0.0,272.792,5,20,0,82,195.84
2016-12-18,FUR-FU-10000732,Furniture,Central,6.28,3,0.0,6.0288,12,18,1,102,46.28
2016-12-11,FUR-FU-10001935,Furniture,West,3.7,4,0.0,6.068,12,11,1,45,32.7
2016-09-19,FUR-CH-10001215,Furniture,Central,350.686,2,0.3,-50.098,9,19,0,48,377.686
2015-08-24,FUR-TA-10001768,Furniture,Central,183.757,5,0.3,-118.1295,8,24,0,92,139.757
2014-12-24,FUR-FU-10003096,Furniture,East,6.072,5,0.2,8.7285,12,24,0,73,-36.928
2017-06-09,FUR-FU-10002759,Furniture,Central,7.992,3,0.6,-14.3856,6,9,0,35,31.992
2017-06-09,FUR-TA-10000688,Furniture,Central,108.925,1,0.5,-71.8905,6,9,0,45,94.925
2017-03-18,FUR-FU-10003553,Furniture,Central,27.508,3,0.6,-41.262,3,18,1,27,-9.492
2017-12-25,FUR-BO-10004015,Furniture,East,95.992,2,0.2,4.7996,12,25,0,48,76.992
2014-06-21,FUR-FU-10004071,Furniture,South,104.01,1,0.0,14.5614,6,21,1,27,101.01
2017-09-02,FUR-FU-10002960,Furniture,East,5.024,3,0.2,4.1448,9,2,1,24,-11.976
2016-11-04,FUR-FU-10003394,Furniture,West,69.96,3,0.0,35.6796,11,4,0,72,73.96
2015-04-09,FUR-TA-10002774,Furniture,West,123.304,3,0.2,-13.8717,4,9,0,73,109.304
2014-12-02,FUR-BO-10003272,Furniture,East,176.784,5,0.2,-110.49,12,2,0,83,192.784
2014-01-11,FUR-FU-10000010,Furniture,East,4.97,2,0.0,3.0814,1,11,1,61,39.97
2017-09-24,FUR-FU-10002253,Furniture,East,34.352,3,0.2,24.4758,9,24,1,23,50.352
2014-06-02,FUR-FU-10000246,Furniture,West,12.22,6,0.0,21.996,6,2,0,73,-14.78
2016-12-15,FUR-TA-10000198,Furniture,Central,550.98,3,0.0,231.4116,12,15,0,29,574.98
2014-10-07,FUR-FU-10000222,Furniture,East,25.984,5,0.2,21.112,10,7,0,100,68.984
2016-12-03,FUR-TA-10002228,Furniture,East,200.016,2,0.4,-153.3456,12,3,1,52,169.016
2016-12-03,FUR-CH-10002965,Furniture,East,180.882,3,0.1,102.4998,12,3,1,33,164.88199999999998
2017-01-21,FUR-BO-10001619,Furniture,West,84.98,1,0.0,18.6956,1,21,1,70,61.98
2014-05-27,FUR-TA-10002607,Furniture,West,56.712,10,0.2,-28.356,5,27,0,107,54.712
2017-10-02,FUR-FU-10003577,Furniture,Central,14.340000000000002,11,0.0,56.7864,10,2,0,69,-12.659999999999998
2015-12-07,FUR-FU-10002759,Furniture,West,19.98,4,0.0,28.7712,12,7,0,60,40.98
2016-09-18,FUR-TA-10001095,Furniture,South,95.8595,4,0.45,-167.3184,9,18,1,72,66.8595
2014-05-14,FUR-FU-10004306,Furniture,South,155.44,2,0.2,23.316,5,14,0,69,155.44
2016-05-19,FUR-CH-10003746,Furniture,South,320.98,2,0.0,179.7488,5,19,0,91,331.98
2017-01-30,FUR-FU-10002597,Furniture,Central,4.94,7,0.0,14.5236,1,30,0,73,-36.06
2015-08-21,FUR-CH-10002335,Furniture,West,181.336,3,0.2,40.8006,8,21,0,42,152.336
2015-10-03,FUR-BO-10004409,Furniture,East,35.49,1,0.5,-15.6156,10,3,1,79,52.49
2015-12-12,FUR-CH-10004675,Furniture,West,174.464,2,0.2,34.8928,12,12,1,57,164.464
2015-06-26,FUR-CH-10003199,Furniture,South,110.98,3,0.0,79.9056,6,26,0,31,153.98000000000002
2015-11-27,FUR-CH-10002647,Furniture,West,56.784000000000006,5,0.2,17.745,11,27,0,82,91.784
2017-02-20,FUR-FU-10004090,Furniture,West,22.23,1,0.0,7.3359,2,20,0,60,-19.77
2017-04-22,FUR-FU-10000794,Furniture,West,9.14,2,0.0,6.2152,4,22,1,54,39.14
2015-02-03,FUR-FU-10003347,Furniture,Central,14.2,2,0.0,11.076,2,3,0,70,51.2
2014-10-13,FUR-TA-10002903,Furniture,West,259.71,5,0.0,311.652,10,13,0,95,287.71
2017-05-14,FUR-FU-10000794,Furniture,West,9.14,2,0.0,6.2152,5,14,1,48,-19.86
2014-06-28,FUR-CH-10001394,Furniture,East,245.693,5,0.3,0.0,6,28,1,50,204.693
2017-06-16,FUR-CH-10000665,Furniture,South,150.98,2,0.0,90.588,6,16,0,52,120.98
2015-11-20,FUR-BO-10001519,Furniture,East,46.512,4,0.2,9.3024,11,20,0,63,2.5120000000000005
2015-10-13,FUR-CH-10001891,Furniture,South,95.98,3,0.0,77.7438,10,13,0,47,67.98
2017-01-01,FUR-FU-10003878,Furniture,East,12.224,4,0.2,8.5568,1,1,1,81,31.224
2016-02-19,FUR-FU-10004090,Furniture,East,22.23,2,0.0,14.6718,2,19,0,67,-5.77
2014-01-10,FUR-FU-10000965,Furniture,South,51.94,1,0.0,21.2954,1,10,0,88,93.94
2016-01-17,FUR-FU-10004017,Furniture,East,107.53,3,0.0,64.518,1,17,1,100,57.52999999999999
2017-11-30,FUR-CH-10004287,Furniture,East,248.58,5,0.1,262.39,11,30,0,96,230.58
2016-10-22,FUR-FU-10000732,Furniture,Central,6.279999999999999,5,0.0,10.048,10,22,1,99,-4.720000000000001
2014-04-29,FUR-FU-10001424,Furniture,East,8.73,2,0.0,5.9364,4,29,0,98,34.730000000000004
2017-12-30,FUR-BO-10003441,Furniture,East,80.784,4,0.2,12.1176,12,30,1,65,73.784
2015-05-31,FUR-FU-10001935,Furniture,East,3.7,6,0.0,9.102,5,31,1,76,30.7
2017-11-27,FUR-FU-10004091,Furniture,Central,46.94,1,0.0,19.2454,11,27,0,75,22.94
2014-06-15,FUR-TA-10001520,Furniture,Central,49.959,2,0.3,-18.5562,6,15,1,89,53.959
2014-06-15,FUR-CH-10003379,Furniture,Central,199.486,4,0.3,-56.996,6,15,1,77,237.486
2016-12-13,FUR-TA-10000577,Furniture,West,278.568,4,0.2,41.7852,12,13,0,40,321.568
2015-07-26,FUR-TA-10002356,Furniture,West,131.055,3,0.5,-204.4458,7,26,1,78,170.055
2017-11-28,FUR-FU-10003601,Furniture,East,73.784,7,0.2,-12.9122,11,28,0,33,38.784000000000006
2017-11-28,FUR-FU-10000576,Furniture,East,167.872,6,0.2,75.5424,11,28,0,59,173.872
2017-11-28,FUR-TA-10004154,Furniture,East,172.11,12,0.4,-619.596,11,28,0,95,155.11
2017-04-03,FUR-FU-10001940,Furniture,East,6.368,4,0.2,7.6416,4,3,0,49,18.368
2017-12-28,FUR-BO-10004709,Furniture,Central,39.4264,2,0.32,-11.596,12,28,0,99,3.426400000000001
2015-09-22,FUR-FU-10004188,Furniture,West,102.3,2,0.0,53.196,9,22,0,46,119.3
2017-11-14,FUR-CH-10002965,Furniture,West,160.784,2,0.2,28.1372,11,14,0,30,163.784
2014-01-16,FUR-FU-10001095,Furniture,East,21.184,6,0.2,28.5984,1,16,0,77,-27.816
2016-10-03,FUR-CH-10003199,Furniture,East,99.882,6,0.1,93.2232,10,3,0,28,141.882
2014-11-11,FUR-CH-10000665,Furniture,West,120.784,5,0.2,75.49,11,11,0,81,163.784
2017-05-21,FUR-FU-10004071,Furniture,East,104.01,5,0.0,72.807,5,21,1,32,95.01
2015-03-29,FUR-CH-10004086,Furniture,South,233.384,5,0.2,131.2785,3,29,1,45,252.384
2015-10-28,FUR-FU-10002885,Furniture,South,4.82,5,0.0,9.158,10,28,0,61,18.82
2015-10-28,FUR-FU-10001918,Furniture,South,4.73,7,0.0,12.9129,10,28,0,64,40.73
2015-07-31,FUR-TA-10002903,Furniture,East,155.826,7,0.4,-290.8752,7,31,0,38,121.826
2014-11-24,FUR-FU-10001602,Furniture,West,37.93,4,0.0,27.3096,11,24,0,52,71.93
2017-06-17,FUR-FU-10004848,Furniture,West,51.75,3,0.0,46.575,6,17,1,29,47.75
2015-12-21,FUR-TA-10003748,Furniture,West,124.49,13,0.0,356.0414,12,21,0,74,105.49
2015-07-06,FUR-FU-10002191,Furniture,East,6.98,2,0.0,6.7008,7,6,0,63,17.98
2015-07-06,FUR-FU-10000965,Furniture,East,51.94,3,0.0,63.8862,7,6,0,56,5.939999999999998
2015-04-27,FUR-CH-10000309,Furniture,East,422.51,3,0.0,316.8825,4,27,0,90,385.51
2014-07-11,FUR-CH-10003379,Furniture,East,284.98,3,0.0,213.735,7,11,0,77,307.98
2014-07-11,FUR-FU-10000629,Furniture,East,13.79,9,0.0,52.1262,7,11,0,58,-2.210000000000001
2016-04-22,FUR-FU-10003975,Furniture,Central,43.31,2,0.0,8.662,4,22,0,28,57.31
2016-03-20,FUR-TA-10001095,Furniture,Central,174.29,4,0.0,146.4036,3,20,1,49,200.29
2016-09-06,FUR-BO-10001811,Furniture,East,240.784,3,0.2,90.294,9,6,0,79,281.784
2017-10-12,FUR-CH-10002304,Furniture,Central,18.186,14,0.3,-18.186,10,12,0,88,11.186
2016-03-08,FUR-FU-10004006,Furniture,South,34.12,3,0.2,-3.8385,3,8,0,34,49.12
2015-07-03,FUR-FU-10000293,Furniture,East,84.232,2,0.2,-29.4812,7,3,0,34,92.232
2015-07-03,FUR-FU-10004460,Furniture,East,31.432,9,0.2,56.5776,7,3,0,60,59.432
2015-04-04,FUR-FU-10004622,Furniture,East,54.2,2,0.0,22.764,4,4,1,22,103.2
2015-03-23,FUR-CH-10003396,Furniture,Central,53.886,2,0.3,-29.2524,3,23,0,77,93.886
2016-10-01,FUR-CH-10001146,Furniture,West,48.712,4,0.2,12.178,10,1,1,50,93.712
2015-11-29,FUR-CH-10002880,Furniture,Central,122.99,9,0.0,121.7601,11,29,1,97,80.99000000000001
2016-03-01,FUR-TA-10001095,Furniture,East,104.574,8,0.4,-264.9208,3,1,0,38,85.574
2017-06-04,FUR-FU-10001967,Furniture,South,15.992,2,0.2,1.999,6,4,1,99,-19.008
2014-06-25,FUR-TA-10004147,Furniture,West,89.568,5,0.2,11.196,6,25,0,50,129.56799999999998
2016-06-14,FUR-FU-10000206,Furniture,West,2.91,3,0.0,4.1031,6,14,0,31,-12.09
2016-11-19,FUR-FU-10000206,Furniture,Central,1.164,2,0.6,-0.7566,11,19,1,69,5.164
2017-12-18,FUR-BO-10002206,Furniture,West,119.833,1,0.15,-12.6882,12,18,0,69,163.833
2014-01-20,FUR-FU-10003194,Furniture,South,9.65,4,0.0,11.58,1,20,0,59,55.65
2014-01-20,FUR-CH-10002331,Furniture,South,355.98,3,0.0,224.2674,1,20,0,56,333.98
2016-04-12,FUR-TA-10004086,Furniture,South,85.98,4,0.0,75.6624,4,12,0,61,95.98
2014-09-29,FUR-FU-10004188,Furniture,West,102.3,2,0.0,53.196,9,29,0,99,131.3
2015-05-08,FUR-FU-10001852,Furniture,East,1.392,6,0.2,1.2528,5,8,0,64,-13.608
2014-12-20,FUR-TA-10001932,Furniture,South,320.64,7,0.0,493.7856,12,20,1,106,342.64
2014-12-20,FUR-TA-10000617,Furniture,South,227.55,2,0.0,100.122,12,20,1,38,268.55
2016-07-02,FUR-CH-10002126,Furniture,West,195.184,1,0.2,19.5184,7,2,1,29,218.184
2017-12-08,FUR-FU-10004952,Furniture,East,54.74,2,0.0,33.9388,12,8,0,45,75.74000000000001
2016-12-01,FUR-CH-10001270,Furniture,East,86.25,2,0.0,51.75,12,1,0,22,63.25
2017-02-26,FUR-CH-10003973,Furniture,West,297.408,3,0.2,89.2224,2,26,1,68,267.408
2015-09-15,FUR-FU-10002268,Furniture,South,3.928,4,0.2,2.5532,9,15,0,55,3.928
2015-09-15,FUR-FU-10003394,Furniture,South,55.968,1,0.2,-2.0988,9,15,0,49,22.968000000000004
2016-04-08,FUR-CH-10004540,Furniture,Central,23.996,4,0.3,-4.1136,4,8,0,71,65.996
2016-07-18,FUR-CH-10002335,Furniture,West,181.336,3,0.2,40.8006,7,18,0,54,229.336
2016-07-18,FUR-CH-10002331,Furniture,West,284.784,3,0.2,10.6794,7,18,0,68,256.784
2016-07-14,FUR-BO-10004695,Furniture,East,144.784,4,0.2,21.7176,7,14,0,89,136.784
2017-09-09,FUR-CH-10004860,Furniture,East,70.686,2,0.3,-48.4704,9,9,1,45,86.686
2017-09-09,FUR-FU-10001867,Furniture,East,8.512,2,0.2,1.7024,9,9,1,96,-21.488
2016-12-04,FUR-FU-10001602,Furniture,East,37.93,3,0.0,20.4822,12,4,1,81,3.93
2017-11-06,FUR-FU-10001424,Furniture,West,8.73,1,0.0,2.9682,11,6,0,60,-19.27
2016-10-28,FUR-FU-10000076,Furniture,South,15.984,3,0.2,13.7862,10,28,0,74,26.984
2016-10-28,FUR-FU-10003268,Furniture,South,31.984,2,0.2,0.0,10,28,0,90,72.98400000000001
2016-10-28,FUR-FU-10003553,Furniture,South,55.016,3,0.2,41.262,10,28,0,69,82.01599999999999
2014-08-11,FUR-FU-10003691,Furniture,West,12.35,1,0.0,5.434,8,11,0,56,-14.65
2014-12-12,FUR-TA-10004619,Furniture,West,127.448,6,0.2,95.586,12,12,0,103,153.44799999999998
2014-12-12,FUR-TA-10003473,Furniture,West,300.904,12,0.2,135.4068,12,12,0,56,280.904
2014-12-12,FUR-BO-10004467,Furniture,West,84.9915,3,0.15,11.9988,12,12,0,66,105.9915
